#  time  Xsize  Ysize  Zsize
0.0 3.9365727904912675 3.0829929870059383 4.47326409223944
2.002006149176932 3.8250550534978904 3.0818042285227416 4.416102806351485
4.002099087710997 3.81745833904136 3.1727253182176316 4.369896615763039
6.000227779046347 3.839681570120663 3.291371760024486 4.297150581776062
8.00197683184856 3.9056802401149273 3.4532386149208554 4.1906271719918005
10.002026767005205 4.024113936458118 3.6718191178800317 4.034680059819869
12.001975305732293 4.204889829468208 3.964948038845596 3.800492778972449
14.000595172307811 4.43730709339506 4.331625276020994 3.467172686331317
16.001151339623533 4.650065965531816 4.684251705866677 2.989941105657535
18.001363204074696 4.636580721425482 4.669047066277902 2.3620564119007486
20.0021627311897 4.440544343201901 4.078097191265993 1.6503510171161524
22.002018016438285 8.064323121847135 4.4303947549680665 2.1948132793442046
24.000311786966602 5.591377481064671 2.696485943741676 5.2679533119231
26.001296316319088 5.886399144201042 2.8288035328415395 8.062608150832244
28.000250346536127 6.864228406739061 3.3984722365591478 10.877409213616048
30.00014258939811 7.432187108553034 3.9509123237104213 13.766551031804097
32.00207729495143 7.841454062583262 4.512241243727942 16.563464604862524
34.001476112944616 8.167034765819622 5.07030068763399 19.213252551073257
36.00166881252236 8.439820320933691 5.616577575726079 21.707637374419484
38.001071133338534 8.673349913622488 6.151208412094709 24.052210986368166
40.00159143628287 8.875291645250547 6.66897153712059 26.245475792722747
42.001584734904135 9.072842598231933 7.166184553168923 28.095854890059353
44.000689403012956 9.282852978916216 7.652292836509451 29.49878991451831
46.00142455092752 9.486428395148057 8.140726839288277 30.57006827250318
48.00159240647727 8.937357901551403 7.183732028213993 31.11297827604315
50.001112003439545 9.19296107919244 7.680271515816612 31.874732911212856
52.00177879713839 9.93779330132854 9.593407840656754 32.599028138756495
54.000051923843934 10.033478257163893 10.06892319730647 33.10274616365717
56.00092173324364 9.724658234443476 10.292987394241557 33.66298532741975
58.00195892846575 10.128674497281143 10.967567956251859 33.963858434063006
60.002060593620286 9.776865383324816 10.942606159723672 34.09577210718741
62.00151773740302 10.162660011964691 11.823003154399247 34.79065460204107
64.00121456053226 10.16952639019383 12.23161998009444 35.20221659227511
66.00093234730554 9.558355108549693 12.385823057936546 35.876569296679634
68.00140105797436 9.255264935167897 12.088928661062901 36.83079924108838
70.00156542093667 8.972800472240092 12.086216224398195 38.10252313109366
72.00091147809039 9.579764793117793 11.69124231566048 38.3384912229513
74.0010079634458 9.774366529134747 12.453384362634234 39.3290008832782
76.00037362992907 9.643354927333705 12.566489709842582 39.604268208359805
78.00001445054735 10.070363398551734 14.007684790317784 41.60400423534957
80.00055757714877 9.748906292714215 12.987557325934077 40.289750025619405
82.00002032557053 10.33174619261803 17.07289073627721 48.69330819904763
84.00231483788116 10.429551211902261 17.42669383040972 48.80387756109985
86.00175228782679 10.480034751328043 17.718409974434376 49.10354431700983
